VENUE_ID,VENUE_NAME,CITY,STATE,COUNTRY,CAPACITY,STATUS
1,M. A. Chidambaram Stadium,Chennai,Tamil Nadu,India,38000,ACTIVE
2,Wankhede Stadium,Mumbai,Maharashtra,India,33000,ACTIVE
3,M. Chinnaswamy Stadium,Bengaluru,Karnataka,India,40000,ACTIVE
4,Eden Gardens,Kolkata,West Bengal,India,68000,ACTIVE
5,Narendra Modi Stadium,Ahmedabad,Gujarat,India,132000,ACTIVE
6,Arun Jaitley Stadium,New Delhi,Delhi,India,41000,ACTIVE
7,Rajiv Gandhi International Cricket Stadium,Hyderabad,Telangana,India,55000,ACTIVE
8,Sawai Mansingh Stadium,Jaipur,Rajasthan,India,30000,ACTIVE
9,Maharaja Yadavindra Singh International Cricket Stadium,Mohali,Punjab,India,38000,ACTIVE
10,BRSABV Ekana Cricket Stadium,Lucknow,Uttar Pradesh,India,50000,ACTIVE
11,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Andhra Pradesh,India,27000,ACTIVE
12,Barsapara Cricket Stadium,Guwahati,Assam,India,40000,ACTIVE
13,Himachal Pradesh Cricket Association Stadium,Dharamshala,Himachal Pradesh,India,23000,ACTIVE
14,Greenfield International Stadium,Thiruvananthapuram,Kerala,India,50000,ACTIVE
15,Brabourne Stadium,Mumbai,Maharashtra,India,20000,ACTIVE
